"npo.id","npo.name","email","tel"
"npo0567","中華民國聾啞資源協會","dra@webtree.net.tw","04-8757083"
"npo0582","中華民國肌萎縮症病友協會","tmda@mda.org.tw","07-3801000"
"npo0856","中華民國脊髓損傷者聯合會","roc.fsci@msa.hinet.net","(02)23328120"
"npo1606","中華民國腦性麻痺協會","cp.cpfamily@gmail.com","02-28317222"
"npo2329","中華民國腫瘤護理學會","onst1992@onst.org.tw","02-23781198"
"npo2346","中華民國自主學習促進會","yulin729@yahoo.com.tw","02-8661-5731"
"npo1712","中華民國自閉症總會","autism@seed.net.tw","02-23944258"
"npo0868","中華民國藍天休閒生活協進會","mandy@mcpsky.org","02-29527032"
"npo2609","中華民國藝術文化環境改造協會","whatart@ms34.hinet.net","(02)23926180"
"npo0549","中華民國藥師公會全聯會","erica.kuo@gmail.com","02-25953856"
"npo1500","中華民國衡山大道救世協會","jany_law@yahoo.com.tw","0422022875"
"npo0895","中華民國視網膜色素病變協會","taiwannick@gmail.com","04-24180087"
"npo2095","中華民國視覺障礙人福利協會","bwaroc76@yahoo.com.tw","02-2599-1234202"
"npo0319","中華民國觀蕊慈善會","erictseng618@gmail.com","0289921108"
"npo0627","中華民國觀護協會","yu6264@ms48.hinet.net","(02)23759852"
"npo1731","中華民國越野追蹤協會","benson.chen@yahoo.com.tw","02-8771-1444"
"npo2046","中華民國身心產業資訊促進發展協會","bbf@seed.net.tw","06-2745418"
"npo0808","中華民國身心障礙聯盟(原殘聯)","league@enable.org.tw","(02)2511-0836"
"npo2610","中華民國身心障礙音樂才藝發展協會","joannie_chen@yahoo.com","0939573342"
"npo1193","中華民國軍文教育推廣協會","cspa.taiwan@gmail.com","07-5611182"
"npo1796","中華民國輔助科技促進職業重建協會","o2h@ms62.hinet.net","02-26598240"
"npo0032","中華民國退休基金協會","pension.fund@msa.hinet.net","(02)23670460"
"npo0969","中華民國運動神經元疾病病友協會","mnda@mnda.org.tw","02-25851367103"
"npo1813","中華民國醫務社會工作協會","mswa@mswa.org.tw","02-27657068無"
"npo0709","中華民國長青協會","ask_info@evergreen.org.tw","02-25310588"
"npo1083","中華民國關懷心臟病童協會","","(02)28754965"
"npo1561","中華民國關懷生命協會","avot@lca.org.tw","02-25420959"
"npo0221","中華民國關懷腦瘤兒童協會","cbta.taiwan@msa.hinet.net","02-28221206"
"npo2497","中華民國關懷魚鱗癬症協會","tai.fish105@msa.hinet.net","(02)27482908"
"npo2177","中華民國雲水蘭若文教協會","ta.yu@msa.hinet.net","04-22659479"
"npo1873","中華民國青少年兒童福利學會","pigegg82@gmail.com","0225033481"
"npo1890","中華民國青年志工發展協會","bluebest@ms74.hinet.net","02-33931114"
"npo2123","中華民國類風濕性關節炎之友協會","raaga@ms63.hinet.net","02-28227495"
"npo1079","中華淨食健康協會","pha@pha-fasting.org","02-23955521"
"npo0915","中華為孝協會","info@wei-xiao.org","87124249"
"npo2310","中華理財教育發展協會","service@sun-upward.com","(02)27196639"
"npo2119","中華生活品質關懷協會","bio16888@yahoo.com.tw","04-2251-5741"
"npo0028","中華社會福利聯合勸募協會","justine@unitedway.org.tw","(02)23782256#506"
"npo0110","中華綠力協會","cpga.org.tw@gmail.com","29859229"
"npo0084","中華網際網路研究發展與應用協會","","(02)27077201"
"npo0945","中華自然醫學教育學會健康促進教研中心","service@natural-medicine.org.tw","02-2214-1171"
"npo0057","中華至善社會服務協會","citw@citw.org.tw","02-23560118"
"npo1471","中華芳香照護教育推廣學會","jenaromaschool@yahoo.com.tw","04-23102118"
"npo1580","中華視障安養福利協會","eyelight08@gmail.com","02-25952872"
"npo0758","中華視障經穴按摩推廣協會","cp.mb@msa.hinet.net","02-25422055"
"npo1483","中華視障聯盟","","2745-5526"
"npo1905","中華親愛家庭協會","sweethomemin@gmail.com","0938-603620"
"npo1491","中華財經策略協會","cafes@cafes.org.tw","0227395413"
"npo1732","中華身心障礙者職業技藝協會","yi.jiao@msa.hinet.net","02-27362536"
"npo1955","中華道統和諧發展總會","iso9995@gmail.com","02-22181848"
"npo1321","中華銀髮養生照顧協會","csca0912@gmail.com","02-26599070241"
"npo1305","中華長照服務產業研究發展協會","healthymarket007@gmail.com","02-82301320"
"npo2565","中華關懷弱勢族群愛心大聯盟","heart@heart.org.tw","02-27619592"
"npo2134","中華青少年全人發展國際交流協會","youthgenerator.r.o.c@gmail.com","0422938209"
"npo1309","中華青少年純潔運動協會","pla@purelove.org.tw","02-23699547"
"npo2313","中華非營利組織發展協會","chinesenpo@gmail.com","04-24811717"
"npo0564","中華飛雁創業互助協會","gloria.culture@msa.hinet.net","02-8911-6371"
"npo1345","中華體驗學習發展協會","elda@pataiwan.org","07-5310384"
"npo1136","中華鯨豚協會","tcs@whale.org.tw","2366-1331"
"npo1047","主婦聯盟環境保護基金會","homemakr@ms15.hinet.net","(02)23686211"
"npo2328","主婦聯盟環境保護基金會台中分事務所","huaf@huf.org.tw","04-23755234"
"npo0424","九九文教基金會","99@mail.99cef.org.tw","(02)23653912"
"npo1364","九歌兒童劇團台北偶戲館經營管理處","educ@pact.org.tw","02-2528-7955"
"npo0956","五二三登山會","club523@mars.seed.net.tw","02-27332839"
"npo2057","亞太公共事務論壇文教基金會","appaf@ebtnet.net","(07)5379456"
"npo2151","亞太國際勞動人權促進協會","alra@kimo.com","89237669"
"npo0317","亞洲體驗教育學會","aaee2006@gmail.com","02-22050440"
"npo1360","人本教育文教基金會","hefpp@hef.org.tw","(02)23670151116"
"npo2429","人本教育文教基金會新竹辦公室","carolchen@hef.org.tw","03-5542322"
"npo0366","人禾環境倫理發展基金會","eeft@eeft.org.tw","02-23930102"
"npo2468","人間文教基金會","humanfgs@yahoo.com.tw","02-27620112"
"npo0524","以立國際服務","Sefina@elivtw.com","(02)27006930101"
"npo0687","仰山文教基金會","service@mail.youngsun.org.tw","03-9354080"
"npo0314","伊甸基金會南投服務中心","","049-2204002"
"npo2180","伊甸基金會國際暨兩岸發展中心","ieden.info@gmail.com","02-2578-4515202-210"
"npo0873","伊甸基金會恩望人力資源服務中心","eden1458u@mail.eden.org.tw","2788-265623"
"npo0388","伊甸基金會新移民家庭成長中心","eden.img@gmail.com","02-25784515131"
"npo1489","伊甸基金會桃園中心","eden279v@gmail.com","（03)386-33113"
"npo1765","伊甸基金會苗栗服務中心","early@ms85.url.com.tw","037-261473"
"npo1801","伊甸基隆市身心障礙福利服務中心","shutz@mail.eden.org.tw","(02)24662355300"
"npo0854","伊甸社會福利基金會-中區資源中心","eden5567@mail.eden.org.tw","042235111513"
"npo1710","伊甸社會福利基金會-北區資源中心桃園組","eden5091@mail.eden.org.tw","(03)494-7341143"
"npo2631","伊甸社會福利基金會南區服務處","edensouthhope@ms59.url.com.tw","19"
"npo2005","伊甸社會福利基金會南投921庇護工場","eden1202d@mail.eden.org.tw","049-2250307"
"npo2194","伊甸社會福利基金會台北縣慈惠庇護工場","ping_1225@pchome.com.tw","02-2299-0560"
"npo0455","伊甸社會福利基金會喜樂視障中心","eden1374c@mail.eden.org.tw","(02)25776504"
"npo0293","伊甸社會福利基金會嘉義服務中心","eden2995@mail.eden.org.tw","05-2834275"
"npo2437","伊甸社會福利基金會宜蘭分事務所","eden_eani@yahoo.com.tw","03-9381005"
"npo0378","伊甸社會福利基金會就業輔導中心","welfare9@ms45.hinet.net","02-27882656"
"npo0256","伊甸社會福利基金會愛德養護中心","zoe7019@yahoo.com.tw","02-28055770601"
"npo0358","伊甸社會福利基金會新竹分事務所","dep123@mail.eden.org.tw","03-5341078"
"npo0719","伊甸社會福利基金會桃園服務中心","eden279v@pchome.com.tw","03-4947341201"
"npo2486","伊甸社會福利基金會桃園職業重建中心","dep134@mail.eden.org.tw","03-4947341135"
"npo0220","伊甸社會福利基金會職訓就輔中心","eden817n@mail.eden.org.tw","02-27882656"
"npo0387","伊甸社會福利基金會附設中區服務中心","","04-22962696317"
"npo2354","伊甸社會福利基金會附設台北市私立婦幼家園","dep128@mail.eden.org.tw","02-8792507211"
"npo1553","伊甸社會福利基金會附設台北市私立活泉之家","dep110@mail.eden.org.tw","02-2230-3019"
"npo0861","伊甸社會福利基金會附設新北市三峽身心障礙福利服務中心","eden2652p@mail.eden.org.tw","2674-1778203"
"npo2226","伊甸社會福利基金會高雄市事務所","eden852r@eden.org.tw","07-799802011"
"npo1460","伊甸社會福利基金會高雄市服務中心","","(07)5878265"
"npo2367","伊甸社會福利基金會高雄市職業重建中心","dep149@yahoo.com.tw","07-5540901"
"npo1513","休休文教基金會","Kfc0501@gmail.com","07-5362830"
"npo2236","何嘉仁文教基金會","clare chiu@hess.com.tw","(02)323461881073"
"npo2522","佛光山慈悲社會福利基金會","fgs9077@ecp.fgs.org.tw","07-2911237207"
"npo2223","佛光山文教基金會","chr@mail.fhsnet.org.tw","(07)65619211119"
"npo2091","佛教僧伽醫護基金會","sangha@sangha.tw","(02)26829188"
"npo2200","佛教幸夫社會福利慈善事業基金會","sinfuf@e-lan.net.tw","(039)515532"
"npo2375","佛教慈濟慈善事業基金會","pony@tzuchi.org.tw","(03)85618253140"
"npo1975","佛教懷仁基金會","huairen1988@gmail.com","(02)89701988"
"npo1875","佛教懷仁基金會中道淨苑板橋中心","jd961204@gmail.com","29654048"
"npo2575","佛明社區復健中心","foming1990@gmail.com","07-7475772"
"npo0659","佳里綜合醫院","chgh@ms6.hinet.net","06-7263333"
"npo1715","佳音文教基金會","","(02)25854116"
"npo2621","保綠基金會","recycle@mail.nantou.com.tw.","(02)25928553"
"npo0676","保育類野生動物收容中心","ptrc@mail.npust.edu.tw","08-7740414"
"npo1339","信義鄉生活重建服務中心","king777@mail.shini.gov.tw","049-2792190"
"npo0749","信誼基金會","ligan@hsin-yi.org.tw","(02)239653031104"
"npo1234","傑瑞社會福利基金會","young.jerry@msa.hinet.net","(04)23725624"
"npo1792","光智社會事業基金會","kuangmhc@ms17.hinet.net","(02)28854250"
"npo2335","兒童燙傷基金會","cbf@ms.cbf.org.tw","02-25224690"
"npo0027","兒童福利聯盟文教基金會南區辦事處","cwlfkaoh@cwlf.org.tw","07-330116321"
"npo2034","兒童肝膽疾病防治基金會","","(02)231234565131"
"npo0059","內政部中區老人之家","li560426@yahoo.com.tw","04-8742811605"
"npo1049","內政部南區老人之家","steh13@steh.gov.tw","08-722-343"
"npo1048","內政部家庭暴力及性侵害防治委員會","moi1351@moi.gov.tw","89127331119"
"npo2622","內政部少年之家","ah202@adh.mohw.gov.tw","03-5222238202"
"npo0789","全國宗教聯合發展基金會","","02-23652690"
"npo2489","全國家長團體聯盟","napo@mail2000.com.tw","02-28350510"
"npo1630","全民太極拳研發基金會","tpehq@wtaichi.org.tw","(02)25121368"
"npo1694","全球和平聯盟台灣總會","upftw2010@gmail.com","02-23637655"
"npo0837","公共網路文教基金會","service@mail.who.org.tw","02-22505068"
"npo0540","公共電視文化事業基金會","pub@mail.pts.org.tw","(02)26338000"
"npo1536","公設民營高雄市大同社區照顧中心","t2153995@seed.net.tw","(07)2153995"
"npo0063","凱華護理之家","ky.nursing@msa.hinet.net","04-25770137"
"npo0037","切膚之愛社會福利慈善事業基金會","392148@cch.org.tw","04-72385951053"
"npo1381","利河伯社會福利基金會","Rehoboth@ms.tjc.org.tw","(04)224369601311"
"npo0193","利河伯社會福利基金會附設台灣省私立基督仁愛之家","tjcpch@ms22.hinet.net","049-2930390"
"npo2148","創世基金會板橋分院","neil57faith@yahoo.com.tw","8966-430622"
"npo1192","創世社會福利基金會","genesis@ms.genesis.org.tw","(02)28357700133"
"npo0415","創義印務設計庇護工場","love.copy@msa.hinet.net","06-2150218"
"npo2438","加利利宣教中心","cc202450@ms69.hinet.net","06-5743941"
"npo1923","加惠心理諮商文教基金會","jcf.org@msa.hinet.net","02-25582771"
"npo1055","勞委會職訓局泰山職訓中心","","(02)29018274"
"npo0518","勵馨基金會","rimuy@goh.org.tw","0223679595"
"npo0410","十大傑出青年基金會","toyp1010@ms24.hinet.net","(02)23218198"
"npo0726","千禧龍青年基金會","nyvc@seed.net.tw","0492247949"
"npo1127","半線文教基金會","pasoa.org@msa.hinet.net","(04)8332170"
"npo1138","南區環保科技園區 綠環境館","comeon1204@gmail.com","07-6245885"
"npo0530","南投市傑瑞老人安養中心","jerry.org101@yahoo.com.tw","049-2230990 531"
"npo2474","南投市公所(生活重建服務中心）","lingo@mail.ntc.gov.tw","049-2222774"
"npo0938","南投縣中寮鄉龍眼林福利協會","lil20005@ms39.hinet.net","049-2601297"
"npo0100","南投縣伽俐終生關懷社會福利基金會","qieli@qieli.org.tw","(04)22059101"
"npo1069","南投縣信義鄉布農文化協會","belin@mail.shini.gov.tw","049-2792800"
"npo1011","南投縣基督教青年會(YMCA)","ymca@nantou-ymca.org.tw","049-2326196"
"npo1093","南投縣家庭照顧者關懷協會","chenling5499@yahoo.com.tw","049-2248595"
"npo0735","南投縣幼兒托育職業工會","ntcm27@yahoo.com.tw","049-2237351"
"npo1308","南投縣心理衛生協進會","nato@cm1.hinet.net","049-2328818"
"npo1352","南投縣慈慧善行協會","tsuhuey1@ms33.hinet.net","049-2763012"
"npo0740","南投縣文化基金會","","(049)231191618"
"npo0993","南投縣生命線協會","nat935@ms33.hinet.net","049-2230530"
"npo0313","南投縣生活重建協會","liaw.a0423@msa.hinet.net","049-2720640"
"npo0186","南投縣發展遲緩兒童早期療育通報轉介暨個管中心","nantou.rfc@msa.hinet.net","049-2205345"
"npo2024","南投縣社區家庭支援協會","ts921@yahoo.com.tw","049-2644545"
"npo1627","南投縣社會福利工作協會","todayegg@gmail.com","049-2732559"
"npo2442","南投縣私立南投仁愛之家","","(049)222151"
"npo0877","南投縣褓姆學會","ntcm.baby@msa.hinet.net","049-2242519"
"npo1641","南投縣鹿谷鄉清水溝重建工作協會","tea.luku@msa.hinet.net","049-2672-099"
"npo2377","南瀛文化協會／新營社區大學","nicepin@gmail.com","(06)632-6927"
"npo0394","台中仁愛之家附設精神病養護所","","(04)2391026"
"npo0906","台中市世界聯合保護動物協會","dogorg@mail2000.com.tw","04-26200102"
"npo2128","台中市主愛青少年關懷協會","","(04)3050074"
